Sales_Order_No,Doc_Type,Order_Date,Delivery_Date,Invoice_Date,Payment_Date,Customer_ID,Customer_Name,City,State,Country,Customer_Type,Material_Code,Material_Desc,Category,Plant,Shipping_Point,Division,Sales_Rep,Quantity,Unit_Price_INR,Discount_Pct,Net_Value_INR,COGS_INR,Gross_Profit_INR,Profit_Margin_Pct,Delivery_Days,Payment_Days,Order_Status,Month,Quarter,Year
SO-2024085,OR,2024-07-06,2024-07-25,2024-07-30,,C003,Infosys Technologies,Bangalore,Karnataka,IN,Domestic,MAT-1009,Electrical,Electrical,PL02-Pune,SP03,20,SR001-Rahul Sharma,18,37609.98,3.08,656104.04,378000,278104.04,42.39,19,,Cancelled,July,Q3,2024
SO-2024086,OR,2024-03-13,2024-03-23,2024-03-27,2024-05-20,C008,Sun Pharma,Ahmedabad,Gujarat,IN,Domestic,MAT-1002,Mechanical,Mechanical,PL01-Mumbai,SP02,20,SR003-Arjun Singh,36,8541.36,9.49,278313.95,183600,94713.95,34.03,10,54.0,Payment Received,March,Q1,2024
SO-2024087,ZOR,2024-11-22,2024-12-06,2024-12-07,2025-01-19,C010,ITC Limited,Kolkata,West Bengal,IN,Domestic,MAT-1007,Mechanical,Mechanical,PL03-Bangalore,SP01,30,SR001-Rahul Sharma,15,12248.66,7.43,170070.36,108000,62070.36,36.5,14,43.0,Payment Received,November,Q4,2024
SO-2024088,ZEX,2024-12-24,2025-01-05,2025-01-09,,C011,Global Tech Corp,New York,NY,US,Export,MAT-1008,Mechanical,Mechanical,PL01-Mumbai,SP01,10,SR005-Vikram Rao,9,5740.81,0.45,51436.59,32400,19036.59,37.01,12,,Cancelled,December,Q4,2024
SO-2024089,OR,2024-08-20,2024-09-03,2024-09-08,2024-10-04,C003,Infosys Technologies,Bangalore,Karnataka,IN,Domestic,MAT-1007,Mechanical,Mechanical,PL02-Pune,SP03,20,SR003-Arjun Singh,38,12736.08,1.85,474997.04,273600,201397.04,42.4,14,26.0,Payment Received,August,Q3,2024
SO-2024090,ZOR,2024-04-21,2024-05-08,2024-05-12,2024-07-11,C001,Reliance Industries Ltd,Mumbai,Maharashtra,IN,Domestic,MAT-1006,Electrical,Electrical,PL03-Bangalore,SP02,10,SR004-Meena Nair,16,19409.72,1.19,306852.83,172800,134052.83,43.69,17,60.0,Payment Received,April,Q2,2024
SO-2024091,OR,2024-03-03,2024-03-20,2024-03-21,,C005,HCL Technologies,Noida,Uttar Pradesh,IN,Domestic,MAT-1004,Electrical,Electrical,PL02-Pune,SP01,10,SR005-Vikram Rao,14,3661.89,7.17,47592.9,29400,18192.9,38.23,17,,Delivered,March,Q1,2024
SO-2024092,ZOR,2024-10-10,2024-10-19,2024-10-24,,C004,Wipro Ltd,Hyderabad,Telangana,IN,Domestic,MAT-1002,Mechanical,Mechanical,PL01-Mumbai,SP01,30,SR003-Arjun Singh,15,8493.91,1.77,125152.74,76500,48652.74,38.87,9,,Delivered,October,Q4,2024
SO-2024093,ZEX,2024-02-26,2024-02-29,2024-03-02,2024-03-02,C013,Asia Pacific Traders,Singapore,SG,SG,Export,MAT-1003,Electrical,Electrical,PL01-Mumbai,SP02,10,SR002-Priya Patel,23,23506.95,2.86,525223.03,303600,221623.03,42.2,3,0.0,Payment Received,February,Q1,2024
SO-2024094,ZEX,2024-09-26,2024-10-02,2024-10-03,,C012,Euro Solutions GmbH,Berlin,Berlin,DE,Export,MAT-1007,Mechanical,Mechanical,PL03-Bangalore,SP01,30,SR001-Rahul Sharma,29,12800.43,6.16,348350.05,208800,139550.05,40.06,6,,Invoiced,September,Q3,2024
SO-2024095,ZEX,2024-06-03,2024-06-20,2024-06-21,,C012,Euro Solutions GmbH,Berlin,Berlin,DE,Export,MAT-1009,Electrical,Electrical,PL03-Bangalore,SP02,10,SR001-Rahul Sharma,31,37698.32,5.12,1108868.19,651000,457868.19,41.29,17,,Invoiced,June,Q2,2024
SO-2024096,OR,2024-03-16,2024-03-21,2024-03-23,2024-04-09,C006,Mahindra & Mahindra,Chennai,Tamil Nadu,IN,Domestic,MAT-1010,Raw Material,Raw Material,PL03-Bangalore,SP03,20,SR004-Meena Nair,40,9404.65,6.58,351432.05,216000,135432.05,38.54,5,17.0,Payment Received,March,Q1,2024
SO-2024097,ZOR,2024-08-08,2024-08-14,2024-08-15,,C009,HDFC Bank,Delhi,Delhi,IN,Domestic,MAT-1010,Raw Material,Raw Material,PL02-Pune,SP02,10,SR004-Meena Nair,42,9428.74,9.23,359465.22,226800,132665.22,36.91,6,,Open,August,Q3,2024
SO-2024098,OR,2024-07-23,2024-08-08,2024-08-09,2024-08-29,C006,Mahindra & Mahindra,Chennai,Tamil Nadu,IN,Domestic,MAT-1008,Mechanical,Mechanical,PL02-Pune,SP01,10,SR001-Rahul Sharma,28,5981.27,3.06,162353.06,100800,61553.06,37.91,16,20.0,Payment Received,July,Q3,2024
SO-2024099,OR,2024-02-19,2024-03-04,2024-03-06,2024-04-10,C002,Tata Consultancy Services,Pune,Maharashtra,IN,Domestic,MAT-1007,Mechanical,Mechanical,PL02-Pune,SP02,30,SR004-Meena Nair,4,12455.64,6.74,46464.99,28800,17664.99,38.02,14,35.0,Payment Received,February,Q1,2024
SO-2024100,ZEX,2024-05-27,2024-06-08,2024-06-11,2024-06-17,C012,Euro Solutions GmbH,Berlin,Berlin,DE,Export,MAT-1001,Mechanical,Mechanical,PL01-Mumbai,SP02,30,SR003-Arjun Singh,37,15391.68,1.86,558917.98,333000,225917.98,40.42,12,6.0,Payment Received,May,Q2,2024
SO-2024101,ZOR,2024-10-20,2024-10-30,2024-11-03,2024-12-27,C002,Tata Consultancy Services,Pune,Maharashtra,IN,Domestic,MAT-1005,Raw Material,Raw Material,PL03-Bangalore,SP01,30,SR003-Arjun Singh,36,1315.42,9.82,42704.26,25920,16784.26,39.3,10,54.0,Payment Received,October,Q4,2024
SO-2024102,ZOR,2024-05-19,2024-05-31,2024-06-03,2024-06-25,C001,Reliance Industries Ltd,Mumbai,Maharashtra,IN,Domestic,MAT-1003,Electrical,Electrical,PL01-Mumbai,SP03,30,SR001-Rahul Sharma,1,21498.64,1.72,21129.07,13200,7929.07,37.53,12,22.0,Payment Received,May,Q2,2024
SO-2024103,OR,2024-04-20,2024-05-05,2024-05-09,2024-06-07,C002,Tata Consultancy Services,Pune,Maharashtra,IN,Domestic,MAT-1009,Electrical,Electrical,PL03-Bangalore,SP03,10,SR001-Rahul Sharma,22,34076.4,3.74,721645.35,462000,259645.35,35.98,15,29.0,Payment Received,April,Q2,2024
SO-2024104,OR,2024-11-12,2024-11-16,2024-11-17,2024-12-04,C003,Infosys Technologies,Bangalore,Karnataka,IN,Domestic,MAT-1003,Electrical,Electrical,PL01-Mumbai,SP03,10,SR003-Arjun Singh,29,23084.4,5.83,630432.53,382800,247632.53,39.28,4,17.0,Payment Received,November,Q4,2024
SO-2024105,ZOR,2024-05-25,2024-06-15,2024-06-19,,C007,Bajaj Auto Ltd,Pune,Maharashtra,IN,Domestic,MAT-1002,Mechanical,Mechanical,PL01-Mumbai,SP02,10,SR002-Priya Patel,43,8468.23,2.65,354498.3,219300,135198.3,38.14,21,,Delivered,May,Q2,2024
SO-2024106,ZEX,2024-05-28,2024-06-10,2024-06-11,2024-06-11,C013,Asia Pacific Traders,Singapore,SG,SG,Export,MAT-1005,Raw Material,Raw Material,PL03-Bangalore,SP01,30,SR005-Vikram Rao,32,1274.46,2.11,39922.96,23040,16882.96,42.29,13,0.0,Payment Received,May,Q2,2024
SO-2024107,ZEX,2024-02-06,2024-02-21,2024-02-22,2024-03-20,C011,Global Tech Corp,New York,NY,US,Export,MAT-1006,Electrical,Electrical,PL02-Pune,SP03,20,SR004-Meena Nair,2,18341.34,0.93,36339.93,21600,14739.93,40.56,15,27.0,Payment Received,February,Q1,2024
SO-2024108,OR,2024-07-26,2024-07-29,2024-08-01,,C005,HCL Technologies,Noida,Uttar Pradesh,IN,Domestic,MAT-1002,Mechanical,Mechanical,PL01-Mumbai,SP01,20,SR005-Vikram Rao,40,8661.62,8.28,317793.86,204000,113793.86,35.81,3,,Delivered,July,Q3,2024
SO-2024109,OR,2024-02-10,2024-02-25,2024-02-28,2024-04-15,C007,Bajaj Auto Ltd,Pune,Maharashtra,IN,Domestic,MAT-1009,Electrical,Electrical,PL01-Mumbai,SP03,30,SR002-Priya Patel,22,34413.25,9.35,686307.94,462000,224307.94,32.68,15,47.0,Payment Received,February,Q1,2024
SO-2024110,ZEX,2024-06-28,2024-07-05,2024-07-07,,C013,Asia Pacific Traders,Singapore,SG,SG,Export,MAT-1006,Electrical,Electrical,PL03-Bangalore,SP01,10,SR004-Meena Nair,10,17791.11,2.08,174207.05,108000,66207.05,38.0,7,,Invoiced,June,Q2,2024
SO-2024111,ZOR,2024-10-23,2024-11-09,2024-11-14,2024-12-25,C008,Sun Pharma,Ahmedabad,Gujarat,IN,Domestic,MAT-1010,Raw Material,Raw Material,PL02-Pune,SP01,20,SR004-Meena Nair,41,9881.82,3.88,389440.63,221400,168040.63,43.15,17,41.0,Payment Received,October,Q4,2024
SO-2024112,ZEX,2024-05-20,2024-06-10,2024-06-11,,C011,Global Tech Corp,New York,NY,US,Export,MAT-1005,Raw Material,Raw Material,PL02-Pune,SP02,10,SR001-Rahul Sharma,33,1153.35,5.54,35951.78,23760,12191.78,33.91,21,,Delivered,May,Q2,2024
SO-2024113,OR,2024-09-16,2024-10-01,2024-10-05,2024-11-11,C010,ITC Limited,Kolkata,West Bengal,IN,Domestic,MAT-1010,Raw Material,Raw Material,PL03-Bangalore,SP03,10,SR003-Arjun Singh,36,9838.21,8.87,322770.71,194400,128370.71,39.77,15,37.0,Payment Received,September,Q3,2024
SO-2024114,ZOR,2024-09-13,2024-09-20,2024-09-21,,C010,ITC Limited,Kolkata,West Bengal,IN,Domestic,MAT-1008,Mechanical,Mechanical,PL03-Bangalore,SP01,10,SR002-Priya Patel,7,6429.87,10.05,40486.34,25200,15286.34,37.76,7,,Delivered,September,Q3,2024
SO-2024115,ZEX,2024-08-12,2024-08-31,2024-09-05,2024-10-14,C012,Euro Solutions GmbH,Berlin,Berlin,DE,Export,MAT-1008,Mechanical,Mechanical,PL02-Pune,SP03,30,SR001-Rahul Sharma,11,6027.51,11.02,58999.2,39600,19399.2,32.88,19,39.0,Payment Received,August,Q3,2024
SO-2024116,ZEX,2024-02-03,2024-02-16,2024-02-17,,C013,Asia Pacific Traders,Singapore,SG,SG,Export,MAT-1006,Electrical,Electrical,PL03-Bangalore,SP01,20,SR001-Rahul Sharma,44,18143.72,3.02,774182.92,475200,298982.92,38.62,13,,Open,February,Q1,2024
SO-2024117,ZOR,2024-06-28,2024-07-10,2024-07-14,2024-07-22,C010,ITC Limited,Kolkata,West Bengal,IN,Domestic,MAT-1003,Electrical,Electrical,PL02-Pune,SP01,30,SR005-Vikram Rao,39,23239.15,1.02,897112.96,514800,382312.96,42.62,12,8.0,Payment Received,June,Q2,2024
SO-2024118,OR,2024-09-17,2024-10-01,2024-10-02,,C002,Tata Consultancy Services,Pune,Maharashtra,IN,Domestic,MAT-1007,Mechanical,Mechanical,PL01-Mumbai,SP01,10,SR003-Arjun Singh,20,11724.47,2.57,228462.35,144000,84462.35,36.97,14,,Invoiced,September,Q3,2024
SO-2024119,ZEX,2024-09-16,2024-10-06,2024-10-11,,C013,Asia Pacific Traders,Singapore,SG,SG,Export,MAT-1002,Mechanical,Mechanical,PL02-Pune,SP01,10,SR002-Priya Patel,43,8504.37,9.2,332060.56,219300,112760.56,33.96,20,,Invoiced,September,Q3,2024
SO-2024120,ZEX,2024-03-25,2024-04-11,2024-04-12,2024-05-08,C012,Euro Solutions GmbH,Berlin,Berlin,DE,Export,MAT-1010,Raw Material,Raw Material,PL02-Pune,SP03,20,SR002-Priya Patel,24,9463.09,2.85,220640.58,129600,91040.58,41.26,17,26.0,Payment Received,March,Q1,2024
SO-2024121,OR,2024-06-07,2024-06-25,2024-06-27,2024-07-20,C009,HDFC Bank,Delhi,Delhi,IN,Domestic,MAT-1004,Electrical,Electrical,PL02-Pune,SP03,30,SR004-Meena Nair,44,3822.24,11.81,148311.29,92400,55911.29,37.7,18,23.0,Payment Received,June,Q2,2024
SO-2024122,OR,2024-11-05,2024-11-12,2024-11-15,2024-11-18,C003,Infosys Technologies,Bangalore,Karnataka,IN,Domestic,MAT-1004,Electrical,Electrical,PL03-Bangalore,SP01,20,SR001-Rahul Sharma,42,3577.31,4.45,143554.2,88200,55354.2,38.56,7,3.0,Payment Received,November,Q4,2024
SO-2024123,ZEX,2024-05-19,2024-06-05,2024-06-10,2024-06-19,C013,Asia Pacific Traders,Singapore,SG,SG,Export,MAT-1003,Electrical,Electrical,PL02-Pune,SP01,20,SR001-Rahul Sharma,28,21202.65,10.93,528809.12,369600,159209.12,30.11,17,9.0,Payment Received,May,Q2,2024
SO-2024124,OR,2024-07-10,2024-07-20,2024-07-24,2024-07-29,C007,Bajaj Auto Ltd,Pune,Maharashtra,IN,Domestic,MAT-1009,Electrical,Electrical,PL03-Bangalore,SP02,10,SR002-Priya Patel,24,34428.83,3.82,794692.68,504000,290692.68,36.58,10,5.0,Payment Received,July,Q3,2024
SO-2024125,OR,2024-08-29,2024-09-05,2024-09-09,,C001,Reliance Industries Ltd,Mumbai,Maharashtra,IN,Domestic,MAT-1005,Raw Material,Raw Material,PL01-Mumbai,SP03,30,SR005-Vikram Rao,40,1140.95,0.95,45203.93,28800,16403.93,36.29,7,,Invoiced,August,Q3,2024
SO-2024126,ZOR,2024-02-26,2024-03-09,2024-03-11,2024-03-30,C009,HDFC Bank,Delhi,Delhi,IN,Domestic,MAT-1007,Mechanical,Mechanical,PL01-Mumbai,SP02,30,SR005-Vikram Rao,8,11485.95,5.04,87258.38,57600,29658.38,33.99,12,19.0,Payment Received,February,Q1,2024
SO-2024127,ZOR,2024-10-21,2024-10-31,2024-11-02,2024-11-20,C001,Reliance Industries Ltd,Mumbai,Maharashtra,IN,Domestic,MAT-1009,Electrical,Electrical,PL03-Bangalore,SP03,10,SR005-Vikram Rao,28,33258.21,4.23,891803.61,588000,303803.61,34.07,10,18.0,Payment Received,October,Q4,2024
SO-2024128,OR,2024-09-26,2024-10-16,2024-10-21,,C006,Mahindra & Mahindra,Chennai,Tamil Nadu,IN,Domestic,MAT-1002,Mechanical,Mechanical,PL02-Pune,SP02,20,SR001-Rahul Sharma,33,8781.54,4.69,276212.95,168300,107912.95,39.07,20,,Delivered,September,Q3,2024
SO-2024129,OR,2024-06-25,2024-07-05,2024-07-06,2024-08-24,C006,Mahindra & Mahindra,Chennai,Tamil Nadu,IN,Domestic,MAT-1002,Mechanical,Mechanical,PL02-Pune,SP03,10,SR004-Meena Nair,38,9012.36,3.99,328804.5,193800,135004.5,41.06,10,49.0,Payment Received,June,Q2,2024
SO-2024130,ZEX,2024-11-19,2024-11-27,2024-11-29,2024-12-03,C012,Euro Solutions GmbH,Berlin,Berlin,DE,Export,MAT-1008,Mechanical,Mechanical,PL01-Mumbai,SP01,10,SR003-Arjun Singh,46,6398.57,5.49,278168.99,165600,112568.99,40.47,8,4.0,Payment Received,November,Q4,2024
SO-2024131,OR,2024-07-22,2024-08-11,2024-08-15,,C005,HCL Technologies,Noida,Uttar Pradesh,IN,Domestic,MAT-1009,Electrical,Electrical,PL01-Mumbai,SP03,20,SR003-Arjun Singh,3,37204.78,2.29,109054.75,63000,46054.75,42.23,20,,Open,July,Q3,2024
SO-2024132,ZOR,2024-08-11,2024-08-26,2024-08-30,2024-10-26,C002,Tata Consultancy Services,Pune,Maharashtra,IN,Domestic,MAT-1006,Electrical,Electrical,PL03-Bangalore,SP02,10,SR004-Meena Nair,25,18015.4,2.24,440288.21,270000,170288.21,38.68,15,57.0,Payment Received,August,Q3,2024
SO-2024133,OR,2024-11-04,2024-11-12,2024-11-17,2024-12-05,C002,Tata Consultancy Services,Pune,Maharashtra,IN,Domestic,MAT-1007,Mechanical,Mechanical,PL03-Bangalore,SP03,20,SR002-Priya Patel,21,11584.68,3.94,233705.11,151200,82505.11,35.3,8,18.0,Payment Received,November,Q4,2024
SO-2024134,ZEX,2024-06-28,2024-07-15,2024-07-16,2024-08-31,C012,Euro Solutions GmbH,Berlin,Berlin,DE,Export,MAT-1008,Mechanical,Mechanical,PL01-Mumbai,SP01,30,SR004-Meena Nair,23,6253.37,5.22,136320.66,82800,53520.66,39.26,17,46.0,Payment Received,June,Q2,2024
SO-2024135,OR,2024-12-13,2024-12-21,2024-12-22,,C006,Mahindra & Mahindra,Chennai,Tamil Nadu,IN,Domestic,MAT-1009,Electrical,Electrical,PL03-Bangalore,SP02,20,SR004-Meena Nair,39,36809.97,5.26,1360104.38,819000,541104.38,39.78,8,,Delivered,December,Q4,2024
SO-2024136,ZOR,2024-11-05,2024-11-12,2024-11-16,,C010,ITC Limited,Kolkata,West Bengal,IN,Domestic,MAT-1001,Mechanical,Mechanical,PL02-Pune,SP02,20,SR003-Arjun Singh,24,15087.03,9.16,328932.21,216000,112932.21,34.33,7,,Invoiced,November,Q4,2024
SO-2024137,OR,2024-01-14,2024-01-22,2024-01-26,2024-02-28,C004,Wipro Ltd,Hyderabad,Telangana,IN,Domestic,MAT-1002,Mechanical,Mechanical,PL01-Mumbai,SP03,20,SR004-Meena Nair,25,9239.77,1.41,227729.92,127500,100229.92,44.01,8,33.0,Payment Received,January,Q1,2024
SO-2024138,ZOR,2024-03-10,2024-03-15,2024-03-19,,C004,Wipro Ltd,Hyderabad,Telangana,IN,Domestic,MAT-1002,Mechanical,Mechanical,PL02-Pune,SP03,20,SR001-Rahul Sharma,46,8642.52,1.05,393367.57,234600,158767.57,40.36,5,,Cancelled,March,Q1,2024
SO-2024139,OR,2024-05-28,2024-06-09,2024-06-11,2024-07-26,C009,HDFC Bank,Delhi,Delhi,IN,Domestic,MAT-1009,Electrical,Electrical,PL01-Mumbai,SP01,10,SR002-Priya Patel,46,38118.45,7.65,1619267.93,966000,653267.93,40.34,12,45.0,Payment Received,May,Q2,2024
SO-2024140,ZEX,2024-01-14,2024-01-28,2024-02-02,,C013,Asia Pacific Traders,Singapore,SG,SG,Export,MAT-1008,Mechanical,Mechanical,PL01-Mumbai,SP01,20,SR004-Meena Nair,24,6120.67,11.8,129567.91,86400,43167.91,33.32,14,,Invoiced,January,Q1,2024
SO-2024141,ZEX,2024-09-26,2024-10-12,2024-10-16,2024-12-07,C012,Euro Solutions GmbH,Berlin,Berlin,DE,Export,MAT-1008,Mechanical,Mechanical,PL02-Pune,SP02,30,SR005-Vikram Rao,37,5766.38,11.67,188460.34,133200,55260.34,29.32,16,52.0,Payment Received,September,Q3,2024
SO-2024142,OR,2024-10-09,2024-10-30,2024-11-01,2024-12-20,C006,Mahindra & Mahindra,Chennai,Tamil Nadu,IN,Domestic,MAT-1003,Electrical,Electrical,PL03-Bangalore,SP01,20,SR002-Priya Patel,9,22327.64,10.93,178987.98,118800,60187.98,33.63,21,49.0,Payment Received,October,Q4,2024
SO-2024143,OR,2024-12-29,2025-01-08,2025-01-11,,C003,Infosys Technologies,Bangalore,Karnataka,IN,Domestic,MAT-1006,Electrical,Electrical,PL03-Bangalore,SP02,10,SR003-Arjun Singh,34,19516.3,10.15,596195.46,367200,228995.46,38.41,10,,Invoiced,December,Q4,2024
SO-2024144,ZOR,2024-02-17,2024-03-07,2024-03-09,,C010,ITC Limited,Kolkata,West Bengal,IN,Domestic,MAT-1009,Electrical,Electrical,PL02-Pune,SP03,10,SR001-Rahul Sharma,38,34059.52,7.9,1191953.02,798000,393953.02,33.05,19,,Open,February,Q1,2024
SO-2024145,ZOR,2024-11-24,2024-12-15,2024-12-18,,C002,Tata Consultancy Services,Pune,Maharashtra,IN,Domestic,MAT-1001,Mechanical,Mechanical,PL03-Bangalore,SP03,20,SR003-Arjun Singh,14,15975.66,5.0,212478.39,126000,86478.39,40.7,21,,Delivered,November,Q4,2024
SO-2024146,OR,2024-12-16,2024-12-31,2025-01-03,2025-02-01,C008,Sun Pharma,Ahmedabad,Gujarat,IN,Domestic,MAT-1004,Electrical,Electrical,PL01-Mumbai,SP02,30,SR002-Priya Patel,5,3686.52,1.9,18082.95,10500,7582.95,41.93,15,29.0,Payment Received,December,Q4,2024
SO-2024147,OR,2024-06-25,2024-07-10,2024-07-12,2024-08-29,C006,Mahindra & Mahindra,Chennai,Tamil Nadu,IN,Domestic,MAT-1006,Electrical,Electrical,PL02-Pune,SP02,10,SR002-Priya Patel,24,18490.45,1.27,438116.15,259200,178916.15,40.84,15,48.0,Payment Received,June,Q2,2024
SO-2024148,OR,2024-05-28,2024-06-12,2024-06-17,,C002,Tata Consultancy Services,Pune,Maharashtra,IN,Domestic,MAT-1001,Mechanical,Mechanical,PL03-Bangalore,SP02,10,SR002-Priya Patel,16,16416.04,10.83,234216.93,144000,90216.93,38.52,15,,Open,May,Q2,2024
SO-2024149,OR,2024-08-27,2024-09-14,2024-09-17,,C008,Sun Pharma,Ahmedabad,Gujarat,IN,Domestic,MAT-1009,Electrical,Electrical,PL01-Mumbai,SP03,20,SR001-Rahul Sharma,2,33722.76,4.72,64262.82,42000,22262.82,34.64,18,,Cancelled,August,Q3,2024
SO-2024150,OR,2024-09-10,2024-09-28,2024-10-01,2024-11-04,C001,Reliance Industries Ltd,Mumbai,Maharashtra,IN,Domestic,MAT-1005,Raw Material,Raw Material,PL02-Pune,SP02,10,SR004-Meena Nair,1,1292.49,5.17,1225.65,720,505.65,41.26,18,34.0,Payment Received,September,Q3,2024
SO-2024151,ZOR,2024-10-14,2024-10-23,2024-10-26,2024-11-30,C001,Reliance Industries Ltd,Mumbai,Maharashtra,IN,Domestic,MAT-1010,Raw Material,Raw Material,PL03-Bangalore,SP03,30,SR001-Rahul Sharma,19,8649.27,6.05,154392.0,102600,51792.0,33.55,9,35.0,Payment Received,October,Q4,2024
SO-2024152,ZOR,2024-07-20,2024-08-03,2024-08-06,2024-09-10,C003,Infosys Technologies,Bangalore,Karnataka,IN,Domestic,MAT-1002,Mechanical,Mechanical,PL01-Mumbai,SP01,10,SR002-Priya Patel,24,9037.58,2.39,211720.81,122400,89320.81,42.19,14,35.0,Payment Received,July,Q3,2024
SO-2024153,ZEX,2024-08-30,2024-09-18,2024-09-22,,C012,Euro Solutions GmbH,Berlin,Berlin,DE,Export,MAT-1006,Electrical,Electrical,PL02-Pune,SP01,20,SR005-Vikram Rao,39,19511.46,1.68,748182.86,421200,326982.86,43.7,19,,Open,August,Q3,2024
SO-2024154,ZEX,2024-10-30,2024-11-12,2024-11-17,2025-01-09,C012,Euro Solutions GmbH,Berlin,Berlin,DE,Export,MAT-1005,Raw Material,Raw Material,PL01-Mumbai,SP02,20,SR001-Rahul Sharma,33,1235.82,8.5,37313.63,23760,13553.63,36.32,13,53.0,Payment Received,October,Q4,2024
SO-2024155,ZOR,2024-06-06,2024-06-09,2024-06-14,2024-07-14,C007,Bajaj Auto Ltd,Pune,Maharashtra,IN,Domestic,MAT-1010,Raw Material,Raw Material,PL03-Bangalore,SP01,30,SR004-Meena Nair,17,9855.55,9.39,151803.74,91800,60003.74,39.53,3,30.0,Payment Received,June,Q2,2024
SO-2024156,ZOR,2024-11-18,2024-12-03,2024-12-05,,C003,Infosys Technologies,Bangalore,Karnataka,IN,Domestic,MAT-1009,Electrical,Electrical,PL01-Mumbai,SP02,20,SR004-Meena Nair,44,34521.53,6.87,1414582.91,924000,490582.91,34.68,15,,Invoiced,November,Q4,2024
SO-2024157,ZOR,2024-12-19,2024-12-28,2025-01-01,2025-02-02,C003,Infosys Technologies,Bangalore,Karnataka,IN,Domestic,MAT-1007,Mechanical,Mechanical,PL03-Bangalore,SP01,30,SR002-Priya Patel,50,12500.66,5.66,589660.75,360000,229660.75,38.95,9,32.0,Payment Received,December,Q4,2024
SO-2024158,ZOR,2024-12-05,2024-12-23,2024-12-28,2025-01-21,C009,HDFC Bank,Delhi,Delhi,IN,Domestic,MAT-1006,Electrical,Electrical,PL02-Pune,SP03,30,SR003-Arjun Singh,21,19683.05,5.52,390544.16,226800,163744.16,41.93,18,24.0,Payment Received,December,Q4,2024
SO-2024159,OR,2024-04-08,2024-04-18,2024-04-21,2024-05-26,C010,ITC Limited,Kolkata,West Bengal,IN,Domestic,MAT-1008,Mechanical,Mechanical,PL03-Bangalore,SP01,30,SR004-Meena Nair,20,5902.38,11.67,104265.63,72000,32265.63,30.95,10,35.0,Payment Received,April,Q2,2024
SO-2024160,OR,2024-06-27,2024-07-17,2024-07-20,2024-08-07,C006,Mahindra & Mahindra,Chennai,Tamil Nadu,IN,Domestic,MAT-1008,Mechanical,Mechanical,PL01-Mumbai,SP02,10,SR003-Arjun Singh,8,6216.13,6.52,46487.55,28800,17687.55,38.05,20,18.0,Payment Received,June,Q2,2024
SO-2024161,ZEX,2024-06-26,2024-07-13,2024-07-16,2024-09-01,C012,Euro Solutions GmbH,Berlin,Berlin,DE,Export,MAT-1002,Mechanical,Mechanical,PL03-Bangalore,SP03,20,SR002-Priya Patel,31,8347.83,9.94,233071.67,158100,74971.67,32.17,17,47.0,Payment Received,June,Q2,2024
SO-2024162,OR,2024-10-27,2024-11-06,2024-11-08,,C002,Tata Consultancy Services,Pune,Maharashtra,IN,Domestic,MAT-1010,Raw Material,Raw Material,PL02-Pune,SP02,30,SR004-Meena Nair,43,9772.0,2.71,408816.79,232200,176616.79,43.2,10,,Delivered,October,Q4,2024
SO-2024163,OR,2024-01-03,2024-01-23,2024-01-25,2024-02-20,C002,Tata Consultancy Services,Pune,Maharashtra,IN,Domestic,MAT-1003,Electrical,Electrical,PL02-Pune,SP02,20,SR001-Rahul Sharma,42,23985.61,10.54,901207.96,554400,346807.96,38.48,20,26.0,Payment Received,January,Q1,2024
SO-2024164,ZEX,2024-11-29,2024-12-20,2024-12-22,,C013,Asia Pacific Traders,Singapore,SG,SG,Export,MAT-1002,Mechanical,Mechanical,PL01-Mumbai,SP02,10,SR001-Rahul Sharma,48,8996.98,11.24,383314.18,244800,138514.18,36.14,21,,Open,November,Q4,2024
SO-2024165,OR,2024-04-05,2024-04-17,2024-04-18,2024-04-18,C007,Bajaj Auto Ltd,Pune,Maharashtra,IN,Domestic,MAT-1008,Mechanical,Mechanical,PL03-Bangalore,SP03,30,SR004-Meena Nair,20,6211.17,1.29,122623.8,72000,50623.8,41.28,12,0.0,Payment Received,April,Q2,2024
SO-2024166,ZOR,2024-08-27,2024-09-07,2024-09-09,2024-10-30,C003,Infosys Technologies,Bangalore,Karnataka,IN,Domestic,MAT-1009,Electrical,Electrical,PL01-Mumbai,SP01,30,SR003-Arjun Singh,8,34986.09,8.77,255332.89,168000,87332.89,34.2,11,51.0,Payment Received,August,Q3,2024
SO-2024167,ZEX,2024-10-17,2024-10-26,2024-10-28,2024-12-06,C013,Asia Pacific Traders,Singapore,SG,SG,Export,MAT-1005,Raw Material,Raw Material,PL01-Mumbai,SP02,30,SR001-Rahul Sharma,41,1301.47,9.92,48064.78,29520,18544.78,38.58,9,39.0,Payment Received,October,Q4,2024
SO-2024168,OR,2024-09-01,2024-09-14,2024-09-16,,C003,Infosys Technologies,Bangalore,Karnataka,IN,Domestic,MAT-1003,Electrical,Electrical,PL02-Pune,SP03,30,SR005-Vikram Rao,17,22165.8,5.36,356617.94,224400,132217.94,37.08,13,,Cancelled,September,Q3,2024
SO-2024169,OR,2024-11-30,2024-12-14,2024-12-16,2024-12-19,C001,Reliance Industries Ltd,Mumbai,Maharashtra,IN,Domestic,MAT-1005,Raw Material,Raw Material,PL03-Bangalore,SP02,30,SR001-Rahul Sharma,43,1161.28,3.68,48096.61,30960,17136.61,35.63,14,3.0,Payment Received,November,Q4,2024
